Date,Prefix,Ticker,Number,Price,Act,Amount,Day,Day Buys,Day Sales,Day Aggr.,Buy Aggr.,Sale Aggr.
6/5/25,,SAP,500,273.15,,,,,,,,
6/11/25,,SAFAMZN,500,(213.25),,,,,,,,
6/11/25,,AMZN,500,(213.43),,,,,,,,
6/11/25,,SAFAAPL,290,###############################################################################################################################################################################################################################################################,,,,,,,,
45821,,AAPL,500,(196),,,,,,,,
6/13/25,,ADEA,"3,000",(13.04),,,,,,,,
6/17/25,,NFLX,200,1220.52 ,,,,,,,,
6/18/25,,DSY,500,(31.34),,,,,,,,
6/18/25,,IAG,"1,710",320.00 ,,,,,,,,
6/18/25,,AAPL,300,(196.66),,,,,,,,
6/18/25,,NOTE,"8,145",(0.54),,,,,,,,
6/18/25,,MVEDSY,500,(31.36),,,,,,,,
6/18/25,,MA,200,(546.81),,,,,,,,
6/19/25,,DSY,500,(30.95),,,,,,,,
6/18/25,,ADEA,"2,800",(13.02),,,,,,,,
6/20/25,,AET,"20,000",52.01 ,,,,,,,,
6/20/25,,DIS,400,117.40 ,,,,,,,,
6/20/25,,AZN,"4,000",(69.84),,,,,,,,
6/20/25,,KR,"1,000",71.82 ,,,,,,,,
6/23/25,,SAP,"1,000",(250.75),,,,,,,,
6/23/25,,SAP,"1,000",(249.75),,,,,,,,
6/24/25,,AAPL,300,(200.70),,,,,,,,
6/24/25,,AMZN,500,(212.98),,,,,,,,
6/25/25,,ASML,200,(695.50),,,,,,,,
6/25/25,,SAFDIS,800,119.32 ,,,,,,,,
6/25/25,,F,"5,000",10.50 ,,,,,,,,
6/25/25,,THC,350,169.12 ,,,,,,,,
6/25/25,,SHECY,"3,000",(15.45),,,,,,,,
6/25/25,,POET,"2,500",(5.12),,,,,,,,
6/25/25,,RIGL,"2,000",(18.65),,,,,,,,
6/25/25,,NEM,"1,000",58.13 ,,,,,,,,
6/25/25,,MSFT,150,491.48 ,,,,,,,,
6/25/25,,DIS,800,119.38 ,,,,,,,,
6/25/25,,CSCO,"1,000",68.32 ,,,,,,,,
6/25/25,,C,500,82.67 ,,,,,,,,
6/25/25,,IAG,"20,000",331.30 ,,,,,,,,
6/26/25,,MVEDSY,"1,500",(30.22),,,,,,,,
6/26/25,,MSFT,150,496.30 ,,,,,,,,
6/26/25,,BLNK,"40,000",(1.01),,,,,,,,
6/26/25,,NEM,"1,000",59.16 ,,,,,,,,
6/26/25,,TSM,500,224.42 ,,,,,,,,
6/27/25,,PAAS,"1,000",(27.53),,,,,,,,
6/30/25,,HPE,"2,000",20.52 ,,,,,,,,
7/3/25,,IAG,"8,290",3.46 ,,,,,,,,
7/4/25,,IAG,"20,000",345.80 ,,,,,,,,
7/7/25,,SAFDIS,330,122.97 ,,,,,,,,
7/10/25,,EZJ,"10,000",(524.20),,,,,,,,
7/10/25,,IAG,"20,000",369.20 ,,,,,,,,
7/15/25,,JBEOAN,"5,000",16.07 ,,,,,,,,
7/15/25,,NEM,"1,000",(55.97),,,,,,,,
7/16/25,,IAG,250,386.01 ,,,,,,,,
7/17/25,,ADEA,190,(14.25),,,,,,,,
7/17/25,,POET,"2,500",6.50 ,,,,,,,,
7/17/25,,EOAN,"5,000",15.95 ,,,,,,,,
7/17/25,,IAG,"9,750",383.01 ,,,,,,,,
7/17/25,,SAP,500,265.05 ,,,,,,,,
7/17/25,,TSM,500,247.65 ,,,,,,,,
7/17/25,,MVEUN0,9,(37.90),,,,,,,,
7/17/25,,MVESAP,200,(259.60),,,,,,,,
7/18/25,,ASML,100,(632.95),,,,,,,,
7/18/25,,ASML,200,(645.50),,,,,,,,
7/18/25,,MVEUN0,39,(37.43),,,,,,,,
7/18/25,,UN0,350,(37.24),,,,,,,,
7/18/25,,NFLX,400,(1208.99),,,,,,,,
7/18/25,,TSM,500,(241.39),,,,,,,,
7/21/25,,DXC,"4,000",(14.48),,,,,,,,
7/21/25,,DVA,990,(140.09),,,,,,,,
7/22/25,,ASML,300,(602.55),,,,,,,,
7/23/25,,MVESAP,200,(250.90),,,,,,,,
7/23/25,,SAP,500,(250.85),,,,,,,,
7/23/25,,NEE,"3,000",(72.56),,,,,,,,
7/24/25,,VONN,"6,000",(61.05),,,,,,,,
7/24/25,,MVEENI,"8,000",14.44,,,,,,,,
7/24/25,,MVEALDNE,"20,000",0.9582865,,,,,,,,
7/25/25,,NEM,800,65.25 ,,,,,,,,
7/25/25,,AZN,"2,000",72.54 ,,,,,,,,
7/25/25,,THC,"1,000",(152.18),,,,,,,,
7/25/25,,GNRC,400,165.75 ,,,,,,,,
7/28/25,,RIG,"25,000",-3.04,,,,,,,,
7/30/25,,ENI,"4,000",14.82 ,,,,,,,,
7/30/25,,VONN,"6,000",(59.50),,,,,,,,
7/30/25,,EZJ,"20,000",(486.00),,,,,,,,
8/1/25,,AMZN,"2,000",(215.02),,,,,,,,
8/1/25,,TSM,"1,000",(235.25),,,,,,,,
8/5/25,,ASML,500,(599.30),,,,,,,,
8/5/25,,VONN,"2,000",(59.10),,,,,,,,
8/8/25,,EOAN,"5,000",16.51 ,,,,,,,,
8/11/25,,RIGL,"2,000",31.70 ,,,,,,,,
8/12/25,,SAP,499,(232.45),,,,,,,,
8/13/25,,NOTE,"70,000",(0.55),,,,,,,,
8/13/25,,RIGL,"2,000",37.12 ,,,,,,,,
8/14/25,,DSY,"2,000",(26.64),,,,,,,,
8/15/25,,MVEGLE,"1,990",(59.09),,,,,,,,
8/15/25,,MVEORA,"3,000",(14.35),,,,,,,,
8/19/25,,HPQ,"4,000",27.08 ,,,,,,,,
8/19/25,,PAAS,"3,000",30.68 ,,,,,,,,
8/19/25,,AZN,"2,000",79.51 ,,,,,,,,
8/19/25,,ASML,500,636.70 ,,,,,,,,
8/22/25,,ASML,500,646.20 ,,,,,,,,
8/22/25,,NEM,"2,000",70.12,,,,,,,,
8/22/25,,PAAS,"1,000",32.03,,,,,,,,
8/22/25,,NEE,"3,000",76.21,,,,,,,,
8/22/25,,RIGL,"2,000",42.05,,,,,,,,
8/25/25,,RIGL,"1,000",41.42 ,,,,,,,,
8/25/25,,NEE,"1,000",75.42 ,,,,,,,,
8/25/25,,HPE,"2,000",22.45 ,,,,,,,,
8/25/25,,VTRS,"5,000",10.58 ,,,,,,,,
8/27/25,,NOTE,"30,000",(0.45),,,,,,,,
8/27/25,,GNRC,600,189.91 ,,,,,,,,
8/27/25,,ENI,"2,000",15.21 ,,,,,,,,
8/28/25,,HPE,"1,500",23.24 ,,,,,,,,
8/25/25,,RIGL,"1,000",41.42 ,,,,,,,,
8/25/25,,NEE,"1,000",75.42 ,,,,,,,,
8/25/25,,VTRS,"5,000",10.58 ,,,,,,,,
8/27/25,,NOTE,"30,000",(0.45),,,,,,,,
8/27/25,,GNRC,600,189.91 ,,,,,,,,
8/27/25,,ENI,"2,000",15.21 ,,,,,,,,
8/28/25,,HPE,"1,500",23.24 ,,,,,,,,
8/29/25,,KR,660,(67.18),,,,,,,,
8/29/25,,RIGL,"1,000",38.72 ,,,,,,,,
9/2/25,,JBEOAN,"5,000",(14.82),,,,,,,,
9/2/25,,EZJ,"10,000",(480.90),,,,,,,,
9/2/25,,EOAN,"5,000",(14.78),,,,,,,,
9/2/25,,ASML,500,(622.20),,,,,,,,
9/4/25,,VONN,"1,010",61.80 ,,,,,,,,
9/5/25,,SAFASML,54,660.20 ,,,,,,,,
9/8/25,,ASML,200,667.20 ,,,,,,,,
9/9/25,,THC,250,194.28 ,,,,,,,,
9/10/25,,F,2000,11.41 ,,,,,,,,
9/10/25,,C,95,97.38 ,,,,,,,,
9/10/25,,NEE,4000,(71.00),,,,,,,,
9/10/25,,DIS,800,(115.90),,,,,,,,
9/11/25,,AAPL,300,230.35 ,,,,,,,,
9/11/25,,SAFAAPL,300,230.21 ,,,,,,,,
9/12/25,,EOAN,3750,15.53 ,,,,,,,,
9/12/25,,NEM,2000,79.26 ,,,,,,,,
9/15/25,,JBEOAN,"5,000",15.63 ,,,,,,,,
9/15/25,,EOAN,"2,500",15.80 ,,,,,,,,
9/15/25,,ASML,300,728.40 ,,,,,,,,
9/15/25,,GNRC,600,(186.39),,,,,,,,
9/16/25,,HPE,2000,24.46 ,,,,,,,,
9/16/25,,LUMN,1000,5.56 ,,,,,,,,
9/16/25,,PAAS,1000,36.29 ,,,,,,,,
9/17/25,,VONN,"1,000",(60.10),,,,,,,,
9/18/25,,ASML,100,772.40 ,,,,,,,,
9/18/25,,TSM,1000,268.59 ,,,,,,,,
9/19/25,,ENI,"9,990",(14.92),,,,,,,,
9/19/25,,ENI,"10,010",(14.87),,,,,,,,
9/19/25,,EZJ,"20,000",(451.01),,,,,,,,
9/19/25,,MVEORA,"1,200",13.75 ,,,,,,,,
9/19/25,,ASML,100,790.33 ,,,,,,,,
9/19/25,,XYZ,600,(76.94),,,,,,,,
9/19/25,,MA,100,592.68 ,,,,,,,,
9/19/25,,AAPL,300,245.49 ,,,,,,,,
9/19/25,,SAP,"1,000",(227.55),,,,,,,,
9/22/25,,ASML,100,814.20 ,,,,,,,,
9/22/25,,ADEA,1000,16.86 ,,,,,,,,
9/22/25,,RIG,13000,(3.38),,,,,,,,
9/23/25,,ASML,100,821.40 ,,,,,,,,
9/23/25,,NEM,200,85.32 ,,,,,,,,
9/23/25,,GNRC,200,(166.70),,,,,,,,
9/23/25,,NEE,"1,000",72.32 ,,,,,,,,
9/24/25,,ASML,200,824.25,,,,,,,,
9/24/25,,PROF,4000,(5.19),,,,,,,,
9/24/25,,MA,100,-565.89,,,,,,,,
9/25/25,,ASML,200,(804.90),,,,,,,,
9/25/25,,VONN,"2,000",(59.20),,,,,,,,
9/25/25,,JBEOAN,"12,000",15.96 ,,,,,,,,
9/25/25,,CVS,249,74.69 ,,,,,,,,
9/25/25,,BLNK,"28,000",1.52 ,,,,,,,,
9/25/25,,NEE,"1,000",74.72 ,,,,,,,,
9/25/25,,VTRS,"5,000",(9.46),,,,,,,,
9/26/25,,CSCO," 1,000 ",(67.20),,,,,,,,
9/26/25,,XOM, 300 ,(117.49),,,,,,,,
9/26/25,,MSFT, 200 ,511.50 ,,,,,,,,
9/26/25,,NEE," 1,000 ",76.712,,,,,,,,
9/26/25,,RIGL," 2,000 ",-28.545245,,,,,,,,
9/29/25,,JBASML,300,828.20 ,,,,,,,,
9/29/25,,AMZN,200,221.52 ,,,,,,,,
9/29/25,,MSFT,200,515.25 ,,,,,,,,
9/29/25,,PAAS,500,39.30 ,,,,,,,,
10/1/25,,HPE,800,24.82,,,,,,,,
10/2/25,,ASML,200,880.60 ,,,,,,,,
10/2/25,,SAP,500,(232.35),,,,,,,,
10/3/25,,VONN,1000,60.2,,,,,,,,
10/3/25,,IAG,10000,384.6,,,,,,,,
10/6/25,,EOAN,"3,200",16.12 ,,,,,,,,
10/6/25,,MVEENI,"4,000",15.12 ,,,,,,,,
10/6/25,,ASML,100,901.20 ,,,,,,,,
10/6/25,,JBEOAN,"3,000",16.12 ,,,,,,,,
10/6/25,,NEE,500,81.84 ,,,,,,,,
10/6/25,,ddd,"5,000",3.08 ,,,,,,,,
10/6/25,,safdis,530,(112.98),,,,,,,,
10/6/25,,nflx,200,"(1,161.69)",,,,,,,,
10/6/25,,safddd,"11,000",3.16 ,,,,,,,,
10/7/25,,POET,2500,7.4,,,,,,,,
10/7/25,,SAFAAPL,150,260,,,,,,,,
10/7/25,,MSFT,150,523.92,,,,,,,,
10/7/25,,THC,1000,204.54,,,,,,,,
10/7/25,,DDD,10000,3.15,,,,,,,,
10/8/25,,IAG,"10,000",397.01 ,,,,,,,,
10/8/25,,MVEGLE,"2,000",(54.13),,,,,,,,
10/8/25,,DSY,"2,000",29.14 ,,,,,,,,
10/8/25,,THC,300,(201.24),,,,,,,,
10/8/25,,HPE,"1,200",26.07 ,,,,,,,,
10/8/25,,POET,2500,9,,,,,,,,
10/9/25,,MVEGLE,2000,(54.68),,,,,,,,
10/9/25,,VONN,1000,61.80 ,,,,,,,,
10/9/25,,IAG,10000,414.70 ,,,,,,,,
10/9/25,,AVGO,160,346.09 ,,,,,,,,
10/9/25,,AET,20000,(46.00),,,,,,,,
10/9/25,,AZN,500,86.22,,,,,,,,
10/9/25,,AAPL,200,253.62,,,,,,,,
10/9/25,,NFLX,100,"1,235.33 ",,,,,,,,
10/9/25,,LUMN,990,6.80 ,,,,,,,,
10/9/25,,DVA,400,(127.09),,,,,,,,
10/9/25,,XPER,5000,(6.66),,,,,,,,
10/10/25,,SAP,200,237.80 ,,,,,,,,
10/10/25,,AET,10000,(45.80),,,,,,,,
10/11/25,,AET,10000,(45.60),,,,,,,,
10/10/25,,HPQ,4000,(25.74),,,,,,,,
10/10/25,,AVGO,210,(331.63),,,,,,,,
10/10/25,,BLDP,6000,3.35 ,,,,,,,,
10/10/25,,ASML,200,(813.90),,,,,,,,
10/13/25,,AAPL,200,(248.52),,,,,,,,
10/13/25,,MSFT,150,(513.83),,,,,,,,
10/13/25,,HPE,1200,(24.92),,,,,,,,
10/14/25,,NEE,300,84.71 ,,,,,,,,
10/14/25,,TSLA,9,427.54 ,,,,,,,,
10/15/25,,HPQ,1000,28.94,,,,,,,,
10/15/25,,PROF,2000,5.61,,,,,,,,
10/15/25,,CSCO,1000,69.34,,,,,,,,
10/15/25,,SHECY,149,16.54,,,,,,,,
10/15/25,,GNRC,200,192.01,,,,,,,,
10/16/25,,ASML,100,893.20 ,,,,,,,,
10/16/25,,VONN,1000,(59.80),,,,,,,,
10/16/25,,HPQ,1000,(27.53),,,,,,,,
10/16/25,,NFLX,100,"(1,179.66)",,,,,,,,
10/16/25,,BLNK,12000,1.91 ,,,,,,,,
10/16/25,,VTRS,5000,10.07 ,,,,,,,,
10/17/25,,VONN,1000,(58.89),,,,,,,,
10/17/25,,MVEGLE,1000,(54.02),,,,,,,,
10/17/25,,ASML,100,862.60 ,,,,,,,,
10/17/25,,TSM,500,296.40 ,,,,,,,,
10/20/25,,NFLX,100,"1,233.56 ",,,,,,,,
10/20/25,,F,3000,12.02 ,,,,,,,,
10/20/25,,HPE,1800,(22.63),,,,,,,,
10/20/25,,KR,1340,(68.98),,,,,,,,
10/20/25,,NEM,1000,94.22 ,,,,,,,,
10/21/25,,AAPL,500,263.58 ,,,,,,,,
10/21/25,,SAFAMZN,500,221.65 ,,,,,,,,
10/21/25,,NEM,2000,(86.41),,,,,,,,
10/21/25,,PAAS,1500,(35.72),,,,,,,,
10/21/25,,RIGL,2000,29.92 ,,,,,,,,
10/22/25,,GNRC,300,(183.16),,,,,,,,
10/22/25,,IAG,10000,402.80 ,,,,,,,,
10/22/25,,EZJ,10000,495.60 ,,,,,,,,
10/22/25,,NFLX,1300,"(1,117.45)",,,,,,,,
10/22/25,,TSM,800,(286.40),,,,,,,,
10/23/25,,IAG,10000,405.01 ,,,,,,,,
10/23/25,,NFLX,500,"(1,103.56)",,,,,,,,
10/24/25,,ASML,100,894.75 ,,,,,,,,
10/24/25,,IAG,20000,406.20 ,,,,,,,,
10/24/25,,KR,1000,(67.00),,,,,,,,
10/24/25,,NEM,2000,(83.50),,,,,,,,
10/24/25,,NFLX,500,"(1,096.88)",,,,,,,,
10/27/25,,IAG,10000,410.07,,,,,,,,
10/27/25,,ASML,100,910.25,,,,,,,,
10/27/25,,VONN,21,61.20 ,,,,,,,,
10/28/25,,HPE,1800,24.12 ,,,,,,,,
10/28/25,,NEM,1000,(79.60),,,,,,,,
10/29/25,,VLVLY,1500,(28.00),,,,,,,,
10/29/25,,SHECY,2632,(15.20),,,,,,,,
10/29/25,,IAG,5000,410.55 ,,,,,,,,
10/30/25,,NEM,1000,(80.88),,,,,,,,
10/31/25,,NEM,1000,(79.88),,,,,,,,
10/31/25,,VONN,979,61.20 ,,,,,,,,
10/31/25,,IAG,10000,421.01 ,,,,,,,,
11/3/25,,IAG,25000,427.20 ,,,,,,,,
11/3/25,,NEE,399,81.87 ,,,,,,,,
11/4/25,,DVA,1600,(118.68),,,,,,,,
11/4/25,,KR,2000,(63.69),,,,,,,,
11/4/25,,NEM,2000,(78.88),,,,,,,,
11/4/25,,ENI,5000,15.86 ,,,,,,,,
11/4/25,,AAPL,500,270.04 ,,,,,,,,
11/4/25,,RIGL,1000,(28.33),,,,,,,,
11/4/25,,C,100,(100.93),,,,,,,,
11/5/25,,VONN,1000,(59.20),,,,,,,,
11/5/25,,IAG,20000,425.10 ,,,,,,,,
11/5/25,,EOAN,14450,(16.04),,,,,,,,
11/5/25,,RIGL,2000,37.21 ,,,,,,,,
11/5/25,,NEM,2000,81.47 ,,,,,,,,
11/6/25,,TSM,300,288.85 ,,,,,,,,
11/6/25,,VONN,2000,(58.80),,,,,,,,
11/7/25,,VONN,2000,(58.45),,,,,,,,
11/7/25,,IAG,20000,380.01 ,,,,,,,,
11/7/25,,RIG,5000,3.96 ,,,,,,,,
11/7/25,,DVA,1600,123.44 ,,,,,,,,
11/7/25,,KR,1000,64.90 ,,,,,,,,
11/10/25,,DVA,1600,(120.14),,,,,,,,
11/11/25,,NOTE,3333,(2.76),,,,,,,,
11/12/25,,ASML,100,886.7,,,,,,,,
11/12/25,,DVA,1600,124.33,,,,,,,,
11/12/25,,PAAS,2000,38.853,,,,,,,,
11/12/25,,POET,2500,-4.9789,,,,,,,,
11/12/25,,VONN,800,60.4,,,,,,,,
11/13/25,,IAG,10000,399.20 ,,,,,,,,
11/13/25,,JBEOAN,3000,(15.15),,,,,,,,
11/14/25,,ASML,100,-886.7,,,,,,,,
11/17/25,2,AVGO,200,342.32,,,,,,,,
11/20/25,2,NFLX,200,(105.73),,,,,,,,
11/21/25,2,IAG,10000,-375.2,,,,,,,,
11/21/25,2,RIGL,499,46.8,,,,,,,,
11/24/25,1,ENI,2000,15.80 ,,,,,,,,
11/24/25,2,NFLX,1800,-104.38,,,,,,,,
gg,ggg,ggg,66.5,55.66666,,,,,,,,
